key;en;fr;fr-ca
PINK_TUBERSO_NAME;Pink Tuberso;Tuberso Rose;Tuberso Rose
PINK_TUBERSO_DESCRIPTION;Potato Patati;Patate Patati;Patate Patati
SATIVUS_NAME;Sativus;Sativus;Sativus
SATIVUS_DESCRIPTION;3 Raddish is better then 1;3 Radis est mieux que 1;3 Radis est mieux que 1
GLUMBERRY_NAME;Glumberry;Baiemaussade;Baiemaussade
GLUMBERRY_DESCRIPTION;Poisonous or not?;Empoissoné ou non?;Empoissoné ou non?
BLUE_DAUCUS_NAME;Blue Daucus;Daucus Bleu;Daucus Bleu
BLUE_DAUCUS_DESCRIPTION;Carrot with 3 pointy ends;Carotte a 3 pointe pointu;Carotte a 3 pointe pointu
KAARKIDE_FLOWER_NAME;Kaarkide Flower;Fleur Kaarkide;Fleur Kaarkide
KAARKIDE_FLOWER_DESCRIPTION;Cute Flower;Fleur mimi;Fleur mimi
GLOWTUS_FLOWER_NAME;Glowtus Flower;Fleur Lueurtus;Fleur Lueurtus
GLOWTUS_FLOWER_DESCRIPTION;Cute Flower2;Fleur mimi 2;Fleur mimi 2
PURTATO_NAME;Purtato;Purtate;Purtate
PURTATO_DESCRIPTION;Delishious;Délichieux;Délichieux
TREE_NAME;Tree;Arbre;Arbre
TREE_DESCRIPTION;Placeholder Tree;Arbre Temporaire;ArbreTemporaire
