keys;en;fr
KEY_SPACE;⎵;⎵
KEY_ENTER;↵;↵
KEY_ESCAPE;Esc;Échap
KEY_LEFT;←;←
KEY_RIGHT;→;→
KEY_UP;↑;↑
KEY_DOWN;↓;↓
KEY_SHIFT;⇧;⇧
KEY_CONTROL;Control;Contrôle
KEY_CTRL;Ctrl;Ctrl
KEY_ALT;Alt;Alt
KEY_TAB;⇥;⇥
KEY_BACKSPACE;⌫;⌫
KEY_CAPSLOCK;CapsLock;Verr.Maj.
KEY_INSERT;Ins;Insert.
KEY_DELETE;Del;Suppr.
KEY_HOME;Home;Début
KEY_END;End;Fin
KEY_PAGEUP;PgUp;P.Préc.
KEY_PAGEDOWN;PgDn;P.Suiv.
KEY_NUMLOCK;NumLock;Verr.Num.
KEY_SCROLLLOCK;ScrlLock;Arr.Déroul.

KEY_KP_0;Keypad 0;Pav.Num 0
KEY_KP_1;Keypad 1;Pav.Num 1
KEY_KP_2;Keypad 2;Pav.Num 2
KEY_KP_3;Keypad 3;Pav.Num 3
KEY_KP_4;Keypad 4;Pav.Num 4
KEY_KP_5;Keypad 5;Pav.Num 5
KEY_KP_6;Keypad 6;Pav.Num 6
KEY_KP_7;Keypad 7;Pav.Num 7
KEY_KP_8;Keypad 8;Pav.Num 8
KEY_KP_9;Keypad 9;Pav.Num 9
KEY_KP_PERIOD;Keypad .;Pav.Num .
KEY_KP_ENTER;Keypad ↵;Pav.Num ↵
KEY_KP_ADD;Keypad +;Pav.Num +
KEY_KP_SUBTRACT;Keypad -;Pav.Num-
KEY_KP_MULTIPLY;Keypad *;Pav.Num *
KEY_KP_DIVIDE;Keypad /;Pav.Num /

KEY_F1;F1;F1
KEY_F2;F2;F2
KEY_F3;F3;F3
KEY_F4;F4;F4
KEY_F5;F5;F5
KEY_F6;F6;F6
KEY_F7;F7;F7
KEY_F8;F8;F8
KEY_F9;F9;F9
KEY_F10;F10;F10
KEY_F11;F11;F11
KEY_F12;F12;F12

KEY_COMMA;,;,
KEY_PERIOD;.;.
KEY_SLASH;/;/
KEY_SEMICOLON;";";";"
KEY_APOSTROPHE;';'
KEY_BRACKETLEFT;[;[
KEY_BRACKETRIGHT;];]
KEY_BACKSLASH;\;\
KEY_QUOTELEFT;`;`

KEY_PLUS;+;+
KEY_MINUS;-;-
KEY_EQUAL;=;=

KEY_A;A;A
KEY_B;B;B
KEY_C;C;C
KEY_D;D;D
KEY_E;E;E
KEY_F;F;F
KEY_G;G;G
KEY_H;H;H
KEY_I;I;I
KEY_J;J;J
KEY_K;K;K
KEY_L;L;L
KEY_M;M;M
KEY_N;N;N
KEY_O;O;O
KEY_P;P;P
KEY_Q;Q;Q
KEY_R;R;R
KEY_S;S;S
KEY_T;T;T
KEY_U;U;U
KEY_V;V;V
KEY_W;W;W
KEY_X;X;X
KEY_Y;Y;Y
KEY_Z;Z;Z

KEY_0;0;0
KEY_1;1;1
KEY_2;2;2
KEY_3;3;3
KEY_4;4;4
KEY_5;5;5
KEY_6;6;6
KEY_7;7;7
KEY_8;8;8
KEY_9;9;9
